"Airline","Origin_Airport","Stopover_Airport","Destination_Airport","Origin_Departure_Delay","Stopover_Arrival_Delay","Stopover_Departure_Delay","Destination_Arrival_Delay"
"AA","SFO","PHX","JFK","-5","-8","-6","-22"
"AA","SFO","LAX","JFK","-1","-16","-6","-21"
"AA","SFO","LAX","JFK","-1","-16","-5","4"
"AA","SFO","LAX","JFK","-6","-28","-8","-15"
"AA","SFO","LAX","JFK","-6","-28","-6","-21"
"AA","SFO","LAX","JFK","17","0","-8","-15"
"DL","SFO","ATL","JFK","-8","19","35","15"
"AA","SFO","PHX","JFK","118","115","-5","-14"
"DL","SFO","ATL","JFK","5","4","-5","-33"
"AA","SFO","MIA","JFK","-2","-12","-4","-3"
"DL","SFO","ATL","JFK","2","-2","-4","-26"
"VX","SFO","LAX","JFK","-3","1","89","62"
"HA","SFO","HNL","JFK","3","83","-5","-13"
"AA","SFO","PHX","JFK","-3","-12","-5","-16"
"VX","SFO","LAX","JFK","54","50","7","11"
"VX","SFO","LAX","JFK","54","50","64","42"
"DL","SFO","DTW","JFK","7","-12","28","17"
"AA","SFO","PHX","JFK","70","53","-1","-15"
"AA","SFO","PHX","JFK","22","2","-1","-15"
"VX","SFO","LAX","JFK","109","138","21","15"
"AA","SFO","LAX","JFK","3","8","0","-26"
"AA","SFO","LAX","JFK","3","8","-5","-25"
"VX","SFO","LAX","JFK","13","47","21","15"
"VX","SFO","LAX","JFK","29","49","21","15"
"AA","SFO","LAX","JFK","68","63","-5","-7"
"AA","SFO","LAX","JFK","4","21","-5","-7"
"B6","SFO","FLL","JFK","206","208","1","2"
"B6","SFO","FLL","JFK","206","208","35","43"
"DL","SFO","ATL","JFK","-1","-12","5","0"
"AA","SFO","PHX","JFK","0","1","4","-20"
"DL","SFO","ATL","JFK","0","-13","62","73"
"AA","SFO","MIA","JFK","-3","-11","35","34"
"VX","SFO","LAX","JFK","14","0","0","-28"
"AA","SFO","LAX","JFK","-8","-15","-5","-22"
"VX","SFO","LAX","JFK","-1","11","0","-28"
